Evolution Environment	Clone	fitness in SC	replicate deviations SC	fitness in .8 M	replicate deviations .8 M	fitness in .4 M	replicate deviations .4 M	fitness in .2 M	replicate deviations .2 M	fitness in 21 C	replicate deviations 21 C	fitness in 34 C	replicate deviations 34 C	fitness in 37 C	replicate deviations 37 C	fitness in pH 3	replicate deviations pH 3	fitness in pH 3.8	replicate deviations pH 3.8	fitness in pH 6	replicate deviations pH 6	fitness in pH 7.3	replicate deviations pH 7.3	fitness in .07% glu	replicate deviations .07% glu	fitness in .4% glu	replicate deviations .4% glu	fitness in gal	replicate deviations gal	fitness in med eth	replicate deviations med eth	killer virus status	number of generations of evolution	Ploidy
Evolved in SC	clone12	0.0146	-0.001,0.0012,-0.0002	0.0588	0.0051,-0.001,-0.0041	0.031	-0.0011,0.0015,-0.0004	0.0159	0.0012,0.0001,-0.0014	0.0107	-0.0004,0.0006,-0.0002	0.0064	-0.0017,0.0002,0.0015	0.0038	-0.002,0.0039,-0.0019	-0.0089	0.0003,0.0014,-0.0018	0.0096	-0.0009,-0.0013,0.0022	0.0019	-0.0013,0.0013,-0.0	-0.0122	-0.0075,0.0073,0.0002	0.0058	0.0004,0.0038,-0.0042	0.0044	0.0002,-0.0008,0.0006	0.0097	0.0033,-0.0032,-0.0001	0.0113	0.0017,-0.0017,0.0	Virus retained	819	Haploid
Evolved in SC	clone13	-0.0768	-0.0005,-0.0156,0.0161	-0.0594	-0.0106,0.0032,0.0074	-0.0492	-0.0042,0.0059,-0.0018	-0.0793	0.0047,0.0045,-0.0092	-0.232	0.0471,-0.0068,-0.0403	0.0188	0.005,-0.0034,-0.0016	0.0275	-0.001,0.0011,-0.0002	0.0265	0.0008,-0.0026,0.0017	-0.2115	0.0033,0.0103,-0.0136	-0.0671	0.0056,-0.0008,-0.0047	0.0025	-0.0044,0.0072,-0.0028	0.0313	0.0001,-0.0056,0.0055	0.0178	-0.0017,0.0031,-0.0014	-0.0507	-0.0109,-0.0015,0.0124	-0.0664	0.0037,0.0028,-0.0066	Virus lost	819	Haploid
Evolved in SC	clone14	0.0228	0.0021,-0.0029,0.0007	-0.0853	-0.0146,0.0091,0.0055	-0.0669	0.005,-0.0235,0.0185	-0.0722	0.0068,0.0057,-0.0125	-0.0064	0.0021,0.0003,-0.0024	0.0184	0.0026,-0.0029,0.0003	-0.1002	-0.0259,-0.0064,0.0322	0.0204	-0.0051,0.0001,0.0049	-0.0044	-0.0004,0.0009,-0.0005	-0.023	0.0049,-0.0023,-0.0026	0.0028	-0.0042,0.0062,-0.002	0.0272	0.0038,-0.0066,0.0029	0.0196	-0.0011,-0.0022,0.0032	0.008	0.0054,-0.0048,-0.0005	0.0178	-0.0051,0.0056,-0.0005	Virus retained	819	Haploid
Evolved in SC	clone15	0.0169	-0.0003,-0.0022,0.0026	-0.0541	-0.0071,0.005,0.0021	-0.0394	0.0006,-0.0028,0.0022	-0.0006	0.003,-0.0,-0.003	0.0127	0.0002,0.0032,-0.0034	0.0123	-0.0013,0.0013,-0.0	0.0147	-0.0032,0.0033,-0.0001	0.0183	-0.0014,0.005,-0.0036	0.0099	-0.0008,-0.0024,0.0033	0.0059	0.0003,-0.0003,0.0	0.0276	0.0059,-0.0014,-0.0044	0.0131	0.0034,0.0002,-0.0037	0.0154	-0.0015,0.0005,0.001	0.0137	0.0016,-0.0008,-0.0007	0.0124	-0.0018,-0.0038,0.0056	Virus retained	819	Haploid
Evolved in SC	clone16	0.0279	0.0009,0.0028,-0.0037	-0.0193	-0.0019,-0.0054,0.0073	-0.013	-0.0012,0.0025,-0.0013	0.0098	-0.0023,0.0008,0.0015	0.0162	-0.0015,0.0016,-0.0001	0.0172	0.0083,-0.0116,0.0033	0.0127	-0.0199,0.0461,-0.0262	0.0302	-0.0071,-0.0024,0.0095	0.0173	0.0011,-0.0006,-0.0005	-0.0115	-0.0013,0.0016,-0.0004	0.0161	0.006,-0.0048,-0.0012	0.0613	0.0236,-0.0026,-0.021	-0.0047	0.0215,-0.0344,0.0129	0.0248	-0.002,0.0035,-0.0015	-0.0016	0.0249,-0.0528,0.0279	Virus retained	819	Haploid
Evolved in SC	clone17	-0.1504	-0.0157,-0.0095,0.0252	-0.0937	-0.0047,0.0118,-0.0071	-0.0032	-0.0033,-0.011,0.0143	-0.0249	-0.003,0.0099,-0.0069	-0.1235	0.007,-0.0202,0.0132	-0.0368	0.0068,-0.0002,-0.0066	-0.0183	-0.0009,0.0057,-0.0048	-0.0378	-0.0028,0.0,0.0028	-0.1438	-0.0163,0.0114,0.0049	-0.095	0.0016,-0.0016,0.0	0.017	0.0006,0.0003,-0.001	0.0372	-0.0026,0.0009,0.0017	-0.0451	0.0016,-0.009,0.0074	-0.1858	0.0197,-0.0119,-0.0078	-0.2139	-0.0094,0.0097,-0.0002	Virus lost	819	Haploid
Evolved in SC	clone18	0.0234	0.004,0.0008,-0.0048	-0.0499	0.0008,-0.0074,0.0066	-0.0303	0.0004,0.0004,-0.0008	0.008	0.0012,-0.0027,0.0014	0.0165	0.004,-0.002,-0.002	0.0199	0.0025,0.0017,-0.0042	0.0203	-0.0029,0.0054,-0.0025	0.0313	-0.0038,0.0012,0.0026	0.0119	-0.0001,-0.0025,0.0026	-0.0144	0.0061,-0.002,-0.0041	-0.0376	0.0141,-0.01,-0.0041	0.0235	0.002,-0.0021,0.0002	0.0144	-0.0014,0.0005,0.0009	0.0249	0.003,-0.0043,0.0012	0.0314	0.0017,0.0017,-0.0034	Virus retained	819	Haploid
Evolved in SC	clone19	0.0165	0.0024,-0.0011,-0.0013	0.065	0.0033,0.0004,-0.0037	0.0434	-0.0005,0.0024,-0.0019	0.0234	-0.0005,0.0004,0.0	0.0171	0.0026,-0.0018,-0.0007	0.0197	0.0002,0.0003,-0.0005	0.0068	0.0023,-0.0029,0.0006	0.0282	-0.0063,0.0001,0.0063	0.0141	-0.0029,0.0022,0.0007	0.0054	-0.0055,0.0015,0.004	-0.0042	0.0006,0.0011,-0.0017	0.0156	0.0018,-0.0038,0.002	0.0111	0.0009,-0.0012,0.0003	0.0208	0.0022,-0.0023,0.0001	0.0237	0.0022,-0.0008,-0.0013	Virus retained	819	Haploid
Evolved in SC	clone20	-0.1142	-0.0064,-0.0186,0.025	-0.104	-0.0092,0.0054,0.0038	-0.0946	-0.0021,0.0074,-0.0053	-0.0807	0.0048,0.0033,-0.0081	-0.1665	0.0081,-0.0321,0.024	0.0094	0.0011,0.0011,-0.0022	0.0181	-0.0086,0.0069,0.0017	0.012	-0.0063,0.0004,0.006	-0.2316	-0.0045,0.021,-0.0165	-0.0311	0.0002,0.004,-0.0042	0.0087	0.0021,0.0013,-0.0034	0.0187	0.0011,0.0015,-0.0026	-0.0045	0.0001,-0.0042,0.0042	-0.1409	-0.013,0.0065,0.0065	-0.1741	-0.015,0.0039,0.0111	Virus lost	819	Haploid
Evolved in 37 C	clone1	0.0115	0.002,0.0012,-0.0033	-0.0633	-0.0015,0.0031,-0.0016	NA	NA	NA	NA	-0.1084	0.0367,0.0407,-0.0774	0.028	-0.0017,-0.0011,0.0028	0.0686	-0.0028,0.0028,-0.0	0.0771	0.0129,0.0038,-0.0167	NA	NA	NA	NA	-0.0252	-0.0075,-0.003,0.0104	0.0045	-0.0041,-0.0019,0.006	NA	NA	-0.0032	0.0166,-0.0081,-0.0086	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone2	-0.0136	0.0027,0.0047,-0.0074	-0.0748	0.0027,-0.0029,0.0002	NA	NA	NA	NA	-0.1167	0.0186,-0.0096,-0.009	0.0034	-0.0049,0.0014,0.0035	0.0238	-0.0007,-0.0006,0.0013	0.0526	0.0133,-0.0031,-0.0102	NA	NA	NA	NA	-0.0265	-0.0113,0.0066,0.0047	-0.0102	0.002,-0.002,0.0	NA	NA	-0.0129	0.015,-0.0115,-0.0035	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone3	-0.0602	0.0123,-0.0116,-0.0007	-0.0477	-0.0027,0.0055,-0.0028	NA	NA	NA	NA	-0.0519	0.0199,0.0265,-0.0464	0.0058	-0.0002,-0.0011,0.0014	0.0496	-0.0043,-0.0028,0.0071	0.0528	-0.0244,-0.0219,0.0462	NA	NA	NA	NA	0.0037	-0.0093,-0.0007,0.0099	0.0152	-0.004,-0.0064,0.0103	NA	NA	-0.0841	0.0124,-0.0203,0.0078	NA	NA	Virus lost	819	Diploid
Evolved in 37 C	clone4	0.0031	0.0025,0.0024,-0.0049	-0.0839	-0.0037,0.0064,-0.0027	NA	NA	NA	NA	-0.0919	-0.0391,0.1161,-0.0771	0.0227	-0.0004,0.0015,-0.0011	0.0604	0.0014,0.0071,-0.0084	0.0771	0.0046,0.0103,-0.0149	NA	NA	NA	NA	-0.0201	-0.008,0.0016,0.0064	-0.0018	0.0015,-0.0045,0.003	NA	NA	0.0079	0.0122,-0.0088,-0.0034	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone5	0.0128	0.0005,-0.0001,-0.0004	-0.0582	-0.0042,0.0052,-0.001	NA	NA	NA	NA	0.0126	0.001,0.0023,-0.0034	0.0331	-0.005,0.0028,0.0022	0.0636	0.0034,0.0036,-0.007	0.0831	0.0021,0.0141,-0.0162	NA	NA	NA	NA	-0.0368	-0.0107,-0.0019,0.0126	-0.0019	-0.0025,0.0,0.0024	NA	NA	0.0149	0.0142,-0.0124,-0.0018	NA	NA	Virus retained	819	Haploid
Evolved in 37 C	clone6	-0.0291	-0.0046,0.0041,0.0005	-0.0403	-0.0051,0.0021,0.0029	NA	NA	NA	NA	-0.1279	0.0187,-0.0411,0.0224	0.0163	-0.0009,-0.0002,0.0011	0.0552	0.0019,-0.0003,-0.0017	0.0698	0.0137,0.0085,-0.0222	NA	NA	NA	NA	-0.04	-0.0064,-0.0035,0.0099	-0.0127	-0.0043,-0.0017,0.006	NA	NA	0.0035	0.0161,-0.0117,-0.0043	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone7	0.0114	0.0006,0.0072,-0.0078	-0.0223	0.0033,0.0002,-0.0035	NA	NA	NA	NA	-0.1818	0.0142,-0.0238,0.0096	0.0296	-0.0033,0.0001,0.0032	0.057	-0.002,0.0023,-0.0003	0.0721	0.0111,0.003,-0.0142	NA	NA	NA	NA	-0.0226	-0.0076,-0.0003,0.008	0.0023	-0.0008,0.0009,-0.0001	NA	NA	-0.002	0.0093,-0.0078,-0.0015	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone8	-0.0058	0.0018,0.0044,-0.0062	-0.0492	-0.0035,0.0087,-0.0052	NA	NA	NA	NA	-0.1062	0.0114,-0.017,0.0056	0.0227	-0.0026,-0.0005,0.0031	0.062	0.0053,-0.0008,-0.0045	0.0696	0.0072,0.0133,-0.0204	NA	NA	NA	NA	-0.0329	-0.0046,0.0,0.0046	-0.0101	0.0,-0.0015,0.0015	NA	NA	0.0005	0.006,-0.0045,-0.0014	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone9	-0.0332	0.0074,0.0002,-0.0076	-0.0803	-0.0043,0.003,0.0013	NA	NA	NA	NA	-0.1123	0.047,-0.0404,-0.0066	0.0219	-0.0007,-0.0009,0.0016	0.0656	0.0015,0.0082,-0.0097	0.0671	0.0017,-0.0002,-0.0015	NA	NA	NA	NA	-0.0496	0.002,-0.006,0.004	-0.0087	-0.0041,-0.0007,0.0048	NA	NA	-0.0006	0.0122,-0.0118,-0.0004	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone10	-0.0019	-0.0053,-0.001,0.0063	-0.0629	0.0032,-0.0004,-0.0028	NA	NA	NA	NA	-0.1548	0.0571,-0.0401,-0.017	0.0242	0.0028,-0.0026,-0.0002	0.0624	0.0036,0.005,-0.0086	0.0749	0.0058,0.0048,-0.0106	NA	NA	NA	NA	-0.0237	-0.0015,-0.0046,0.0062	-0.0139	-0.0055,0.0009,0.0046	NA	NA	0.0023	0.0127,-0.0069,-0.0057	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone11	0.0008	-0.0021,0.0027,-0.0006	-0.0556	-0.0029,0.0026,0.0003	NA	NA	NA	NA	-0.1492	0.0494,-0.0198,-0.0296	0.0185	-0.0023,-0.0012,0.0035	0.0525	-0.0014,0.0046,-0.0032	0.0626	0.0121,0.0004,-0.0126	NA	NA	NA	NA	-0.0167	-0.0155,0.0049,0.0105	-0.0104	-0.0004,-0.0059,0.0063	NA	NA	-0.0075	0.016,-0.0119,-0.0041	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone12	0.0209	-0.0005,0.0025,-0.002	-0.0421	-0.0009,-0.0002,0.0011	NA	NA	NA	NA	0.0199	0.0035,-0.0007,-0.0027	0.032	0.0,-0.0015,0.0015	0.0582	-0.0002,0.0003,-0.0001	0.0967	0.0002,0.01,-0.0102	NA	NA	NA	NA	-0.0268	-0.0063,0.0005,0.0058	0.0025	-0.0034,0.0012,0.0022	NA	NA	0.0193	0.0148,-0.0072,-0.0076	NA	NA	Virus retained	819	Haploid
Evolved in 37 C	clone13	-0.0107	-0.0067,0.0036,0.0031	-0.0728	-0.0124,0.0009,0.0115	NA	NA	NA	NA	-0.0959	-0.0027,0.0603,-0.0576	0.0291	0.0011,-0.0027,0.0017	0.0585	-0.002,0.0026,-0.0006	0.0743	-0.002,0.0007,0.0013	NA	NA	NA	NA	-0.0079	-0.0036,-0.0073,0.0108	0.0048	-0.0025,-0.0027,0.0053	NA	NA	-0.0103	0.0097,-0.0084,-0.0013	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone14	0.0096	-0.0007,0.0019,-0.0011	-0.0537	-0.0015,0.0047,-0.0032	NA	NA	NA	NA	-0.1754	0.0383,0.0276,-0.0659	0.0184	0.0001,0.0009,-0.001	0.0563	0.0027,-0.002,-0.0007	0.0762	0.0092,-0.0057,-0.0035	NA	NA	NA	NA	-0.014	-0.0068,-0.0011,0.0078	-0.0105	-0.0011,-0.0072,0.0083	NA	NA	0.0025	0.0189,-0.0124,-0.0065	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone15	-0.0535	-0.0049,0.0078,-0.0028	0.0214	-0.0494,0.0298,0.0196	NA	NA	NA	NA	-0.1038	0.0247,0.0052,-0.0299	-0.0137	-0.0014,-0.0016,0.003	0.0065	-0.0042,0.0058,-0.0016	-0.0553	0.0049,-0.0022,-0.0027	NA	NA	NA	NA	-0.1049	0.0002,-0.0097,0.0095	-0.0637	0.0013,-0.0089,0.0076	NA	NA	-0.0396	0.016,-0.0159,-0.0001	NA	NA	Virus retained	819	Haploid
Evolved in 37 C	clone16	-0.1728	0.0133,-0.0174,0.0042	-0.1272	-0.0121,-0.0017,0.0138	NA	NA	NA	NA	-0.1369	0.0471,-0.0045,-0.0426	-0.0103	0.0035,-0.0033,-0.0002	0.0361	0.01,-0.0067,-0.0033	0.0211	-0.0149,0.0025,0.0124	NA	NA	NA	NA	-0.0085	-0.0028,-0.0002,0.003	-0.0063	-0.0069,-0.0091,0.0159	NA	NA	-0.1262	-0.0139,-0.0111,0.0249	NA	NA	Virus lost	819	Diploid
Evolved in 37 C	clone17	0.0142	0.0045,0.001,-0.0055	-0.0317	0.004,0.0034,-0.0074	NA	NA	NA	NA	0.0108	-0.0059,0.0057,0.0002	0.0237	0.0005,-0.0043,0.0038	0.0592	0.0073,-0.0029,-0.0044	0.0631	0.0061,0.0001,-0.0062	NA	NA	NA	NA	-0.0162	0.0048,-0.0089,0.0041	-0.015	-0.0034,-0.0026,0.006	NA	NA	0.0103	0.0177,-0.0111,-0.0066	NA	NA	Virus retained	819	Haploid
Evolved in 37 C	clone18	0.0014	-0.0026,0.0044,-0.0019	-0.0065	0.0004,0.0017,-0.0022	NA	NA	NA	NA	-0.1227	0.0387,-0.0514,0.0127	0.0246	0.0038,-0.0014,-0.0024	0.0658	0.0056,-0.0019,-0.0037	0.0702	0.0149,0.0035,-0.0184	NA	NA	NA	NA	0.0047	-0.0078,-0.0012,0.009	0.0173	-0.0027,-0.001,0.0038	NA	NA	0.0181	0.0,-0.0043,0.0042	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone19	0.0012	0.0007,0.0047,-0.0055	-0.0892	-0.02,0.0107,0.0093	NA	NA	NA	NA	-0.1376	0.0104,-0.0133,0.003	0.0309	0.0047,-0.003,-0.0017	0.0664	0.0069,-0.0039,-0.003	0.0782	0.0071,0.0025,-0.0095	NA	NA	NA	NA	-0.0142	-0.0034,-0.0019,0.0053	0.0078	-0.0027,-0.0028,0.0055	NA	NA	0.0182	0.0135,-0.0114,-0.0021	NA	NA	Virus lost	819	Haploid
Evolved in 37 C	clone20	-0.0169	-0.0088,0.0029,0.0058	-0.0349	0.012,-0.004,-0.008	NA	NA	NA	NA	-0.1678	0.0225,-0.0484,0.0259	0.0338	-0.0014,-0.0007,0.002	0.0544	-0.0002,0.0024,-0.0022	0.0807	0.0033,-0.0032,-0.0002	NA	NA	NA	NA	-0.0044	0.0026,-0.0055,0.0028	0.0263	-0.0017,-0.005,0.0067	NA	NA	0.0138	0.0073,-0.0044,-0.0029	NA	NA	Virus lost	819	Haploid
Evolved in .8 M	clone1	-0.1499	-0.0115,-0.0044,0.0159	0.1422	0.0634,-0.025,-0.0385	0.0548	-0.006,0.0129,-0.0068	-0.0595	-0.0038,0.0046,-0.0008	-0.2206	0.0269,-0.0182,-0.0087	NA	NA	0.0026	0.0035,-0.0066,0.0031	0.0213	-0.0003,-0.0001,0.0004	NA	NA	NA	NA	-0.0059	0.0032,-0.0021,-0.0011	0.0324	0.0024,0.0055,-0.0079	NA	NA	-0.1645	0.0062,-0.0164,0.0102	NA	NA	Virus lost	612	Haploid
Evolved in .8 M	clone2	-0.0555	-0.005,-0.0042,0.0093	0.1348	0.04,-0.0186,-0.0214	0.0487	-0.002,0.002,-0.0	-0.0131	0.0012,0.0045,-0.0057	-0.0423	-0.0004,0.0028,-0.0024	NA	NA	-0.0764	0.0121,0.0101,-0.0222	-0.0412	-0.0021,-0.004,0.006	NA	NA	NA	NA	-0.0883	-0.0049,-0.0026,0.0075	-0.0242	0.0028,-0.0025,-0.0003	NA	NA	-0.0037	0.0075,-0.0064,-0.0011	NA	NA	Virus retained	612	Haploid
Evolved in .8 M	clone3	-0.0043	0.0033,-0.0028,-0.0005	0.1245	0.0158,-0.0036,-0.0122	0.0736	0.0033,0.0012,-0.0045	0.0372	0.0013,-0.0019,0.0006	0.0112	-0.0023,-0.0001,0.0024	NA	NA	-0.0026	-0.0048,0.0033,0.0015	-0.0108	-0.0042,0.0006,0.0036	NA	NA	NA	NA	-0.0075	0.0021,0.0015,-0.0037	0.0141	-0.0004,-0.0002,0.0006	NA	NA	0.0195	0.0012,-0.0005,-0.0006	NA	NA	Virus retained	612	Haploid
Evolved in .8 M	clone4	0.0147	-0.0002,-0.0029,0.0031	0.1114	0.0134,-0.0036,-0.0098	0.0764	0.0007,-0.0012,0.0004	0.0421	-0.0024,0.003,-0.0005	0.0111	0.0041,-0.0031,-0.001	NA	NA	0.0276	-0.0015,0.0022,-0.0007	0.0209	-0.0045,-0.002,0.0065	NA	NA	NA	NA	-0.0145	-0.0047,0.0007,0.0041	0.0203	-0.0009,-0.0001,0.001	NA	NA	0.0254	0.0093,-0.0076,-0.0017	NA	NA	Virus retained	612	Haploid
Evolved in .8 M	clone5	-0.0201	-0.0,0.0052,-0.0051	0.128	0.0088,-0.0107,0.0019	0.0584	0.0016,-0.0,-0.0015	0.0172	-0.0009,-0.0051,0.006	-0.0031	0.0028,-0.0073,0.0045	NA	NA	-0.0142	0.0028,-0.0022,-0.0006	-0.013	-0.0013,0.007,-0.0057	NA	NA	NA	NA	0.0069	0.0011,-0.008,0.0069	-0.0368	-0.0012,0.0031,-0.0019	NA	NA	-0.0262	-0.0012,-0.0015,0.0027	NA	NA	Virus retained	612	Haploid
